"quadrat","year","month","boundary","perennial_cover","nonpernn_cover","grass_cover","shrub_cover","other_cover","bareground"
"A1","1915","06",1,0.0656098948957749,0,0.0656098948957749,0,0,0.934390105104225
"A1","1915","10",1,0.0396172723750608,2.44618092078984e-05,0.0396172723750608,0,2.44618092078984e-05,0.960382727624939
"A1","1916","05",1,0.0564944777148553,0,0.0564944777148553,0,0,0.943505522285145
"A1","1917","06",1,0.0340276756243464,2.4888651611943e-05,0.0340276756243464,0,2.4888651611943e-05,0.965972324375654
"A1","1917","09",1,0.0325547253735437,0.000671993604532671,0.0325547253735437,0,0.000671993604532671,0.967445274626456
"A1","1918","09",1,0.00830958424531033,2.48886516119439e-05,0.00830958424531033,0,2.48886516119439e-05,0.99169041575469
"A1","1919","07",1,0.0108096393928522,0,0.0108096393928522,0,0,0.989190360607148
"A1","1919","10",1,0.010499576583205,0,0.010499576583205,0,0,0.989500423416795
"A1","1920","10",1,0.0218002192894482,0,0.0218002192894482,0,0,0.978199780710552
"A1","1921","10",1,0.0359536491293306,0.000558750242827542,0.0359536491293306,0,0.000558750242827542,0.964046350870669
"A1","1922","10",1,0.0172734712387776,2.48886516119435e-05,0.0172734712387776,0,2.48886516119435e-05,0.982726528761222
"A1","1923","10",1,0.0207524070433529,0.000398218436511551,0.0207524070433529,0,0.000398218436511551,0.979247592956647
"A1","1924","10",1,0.0296774776883847,0,0.0296774776883847,0,0,0.970322522311615
"A1","1925","10",1,0.0103457149312676,0.000166753974318437,0.0103457149312676,0,0.000166753974318437,0.989654285068732
"A1","1926","09",1,0.0230617553969985,0.000398218436801294,0.0230617553969985,0,0.000398218436801294,0.976938244603001
"A1","1927","09",1,0.039451450529927,2.48886516119434e-05,0.039451450529927,0,2.48886516119434e-05,0.960548549470073
"A1","1928","09",1,0.046052339171636,2.48886516119437e-05,0.046052339171636,0,2.48886516119437e-05,0.953947660828364
"A1","1929","09",1,0.0891691714242365,0,0.0891691714242365,0,0,0.910830828575763
